,content,sentiment,content_preprocessed
624,"Terimakasih atas peluncuran aplikasinya, sangat membantu saya karena cukup perpanjang dari rumah dan dalam 3 hari SIM dikirim dari Depok ke Solo. (-) Untuk awal"" memang agak sulit untuk verifikasi dan mendapatkan kode OTP nya. Mohon diperhatikan untuk kedepannya.",Positif,terimakasih luncur aplikasi bantu panjang rumah sim kirim depok solo sulit verifikasi kode otp mohon perhati depan
625,"Cara untuk tes kesehatan E-Rikkes dan E-Ppsi gimana ya?? Saya klik di menu nya kok ga bisa bisa ya Tujuan saya untuk perpanjangan SIM Mohon izin Pak Ketua, bagaimana cara nya? Terimakasih",Positif,tes sehat e-rikkes e-ppsi klik menu tuju panjang sim mohon izin ketua terimakasih
626,"Alhamdulillah selesai juga proses perpanjang sim, subuh ngisi ngikutin istruksi di app, siang dah jadi, hari besok sampe simnya pke kurir pos. Tinggal duduk manis ajaa drmh gk usah ngantri, smoga makin berkembang appnya biar bisa semua",Positif,alhamdulillah selesai proses panjang sim subuh ngisi ikut istruksi app siang deh besok simnya pakai kurir pos tinggal duduk manis drmh antri moga kembang appnya biar
627,"sejauh ini penggunaan aplikasi tidak ada kendala, memang masih banyak menu yang masih dalam tahap pengembangan. verifikasi data dari KTP, SIM, telp dan email juga sudah berhasil, tinggal coba tahun depan buat perpanjangan. Semoga aplikasinya segera terlaksana sepenuhnya.",Positif,guna aplikasi kendala menu tahap kembang verifikasi data ktp sim telp email hasil tinggal coba panjang moga aplikasi laksana sepenuh
628,Terhindar dari antrean hemat waktu fraktis digital oriented,Positif,hindar antre hemat fraktis digital oriented
629,Baru 2 Polda ya pakkk...... Polda Jabar kapan pakkk,Positif,polda pakkk polda jabar pakkk
630,"Sebab aplikasi nya sudah bisa saya gunakan untuk mendaftar dan verifikasi ktp, bintang nya saya tambah. Semoga layanan lainnya yang ada di aplikasi ini segera bisa di nikmati pengguna nya. Nanti kalo semua layanan sudah tersedia, saya naikkan lagi bintang nya. Terima kasih sudah memberikan kemudahan layanan kepada masyarakat, apalagi di musim begini yang sangat membantu.",Positif,aplikasi daftar verifikasi ktp bintang moga layan aplikasi nikmat guna kalo layan sedia naik bintang terima kasih mudah layan masyarakat musim bantu
631,Mantul aplikasi nya 🙏👍,Positif,mantul aplikasi
632,"mantap , bagi yang gak bisa verifikasi ktp , gerakan kepala harus sama dengan contohnya jangan terlalu cepat",Positif,mantap verifikasi ktp gera kepala contoh cepat
633,Tidak jalan,Positif,jalan
634,Ko proses nya lama ya min. Pdhl udh transfer.,Positif,proses min transfer
635,"Alhamdulillah proses pendaftaran no. NIK dan no hp terverifikasi.... meskipun OTP agak lambat tetapi saya coba malamnya lancar, tampilan apk ok, untuk pembayaran STNK online segera mungkin...saya baru kasih bintang 4...sukses buat Korlantas polri dan makin maju",Positif,alhamdulillah proses daftar no nik no hp verifikasi otp lambat coba malam lancar tampil apk ok bayar stnk online kasih bintang sukses korlantas polri maju
636,"Download aja dulu. Kalau masih banyak kekurangan, wajarlah. Namanya juga aplikasi baru. Apresiasi untuk POLRI yang mau berinovasi",Positif,download kurang wajar nama aplikasi apresiasi polri inovasi
637,Sangat membantu,Positif,bantu
638,Saya Sudan bisa cuman sayang poto Profil gak pernah aktif padahal sudah says masukin poto profilnya..,Positif,sudan cuman sayang poto profil aktif says pasuk poto profil
639,Awalnya susah masuknya... Akhirnya bisa jg.. Dan SIM saya ahirnya jadi jg... Bagus pokoknya.. Sangat membantu..,Positif,susah masuk sim ahirnya bagus pokok bantu
640,"sukses memperpanjang sim, semoga sisi keandalan bisa lebih ditingkatkan.",Positif,sukses panjang sim moga sisi andal tingkat
641,Alhmdllh saya mencobanya dan berjalan lancar...mudah dan gampang....tapi kota2 proses jadinya kpn ya...biaya sdh saya lunasi.....,Positif,alhmdllh coba jalan lancar mudah gampang kota proses biaya lunas
642,"Verifikasi udah selesai semua, cma untuk STNK masih dalam pengembangan, mudah2an secepatnya bisa di gunakan semuanya.",Positif,verifikasi selesai stnk kembang mudah an cepat
643,Baru SIM A & C,Positif,sim a sih
644,"Lihat comentnya pada negatif semua,, itu sebenarnya untuk tes online semua bro, itu ada linknya di aplikasi ini, saya sudah coba dan sampai tahap akhir, sekarg tinggal nunggu simnya saja , mogaaja cepet",Positif,lihat comentnya negatif tes online bro linknya aplikasi coba tahap sekarg tinggal tunggu simnya mogaaja cepat
645,Aplikasi sangat membantu dan mudah dimengerti oleh siapapun. Saran saya adalah mungkin masih perly perbaikan lagi yang belum bagus terutama saat melengkapi data agak eror. Data sudah benar ada notif data belum bisa. Tapi setelah keluar ternyata data sudah masuk dan benar. Terimakasih dan saya harap aplikasi ini tetap dipertahankan serta diperbaiki lagi barangkali ada bug.,Positif,aplikasi bantu mudah erti saran perly baik bagus lengkap data eror data notif data data masuk terimakasih harap aplikasi tahan baik barangkali bug
646,"Aplikasi bagus dan mudah, tes psikologi dan kesehatan juga mudah, untuk menghindari orang orang yg main tembak kesehatan dan psikologi yg menyebabkan kecelakaan lalulintas, dimasa pandemi covid ini aplikasi online ini sangat diperlukan namun agar dapat dijaga dari hacker kerahasiaan data pribadi, saya sdh selesai prosesnya dari pagi dan sdh membayar biaya sim A dan C lwt BNI namun setelah itu prosesnya kok lama ya, statusnya masih 40% padahal kalo di satpas tidak sampai 1 jam setelah dok masuk.",Positif,aplikasi bagus mudah tes psikologi sehat mudah hindar orang orang main tembak sehat psikologi sebab celaka lalulintas masa pandemi covid aplikasi online jaga hacker rahasia data pribadi selesai proses pagi bayar biaya sim a sih bni proses status kalo satpas jam dok masuk
647,Mantul,Positif,mantul
648,"Lumayan, tinggal nunggu SIM datang,tapi biaya kirim nya mehong 25rb",Positif,lumayan tinggal tunggu sim biaya kirim mehong ribu
649,Bisa bantu jawab ga cara pembayaran tes psikologi online dan pembayaran sim nya?,Positif,bantu bayar tes psikologi online bayar sim
650,"Saya baru perpanjang sim online lewat aplikasi ini, mudah lancar tanpa kendala, sim baru saya terima tadi setelah nunggu 3 hari dikirim lewat pos Indonesia, terima kasih😊😊",Positif,panjang sim online aplikasi mudah lancar kendala sim terima tunggu kirim pos indonesia terima kasih
651,Untuk perpanjangan sim sudah bisa online. Terima kasih kepada kepolisian sudah memberikan pelayanan sim menjadi lebih mudah dan simple prosesnya.,Positif,panjang sim online terima kasih polisi layan sim mudah simple proses
652,Sim sudah di proses pengiriman tapi tanggal berlakunya kenapa masiih taun skrng ya 🙈 mohon penjelasannya ya krna msiih belom paham perihal tgl berlaku,Positif,sim proses kirim tanggal laku masiih mohon jelas msiih paham perihal tanggal laku
653,"Alhamdulillah akhirnya SIMnya datang dengang selamat. Saya tambahin jadi 5 bintang. Kalo bisa dikasih foto, saya kirim fotonya juga nih hehehe. Kereeennn. Mantap untuk Korlantas. Joss terusss",Positif,alhamdulillah simnya dengang selamat tambah bintang kalo kasih foto kirim foto nih hehehe kereeennn mantap korlantas joss
654,bapak / ibu polisi saya sudah rekam sim di aplikasi trus dibatalkan ... karena pilihan di polda jatim satpasnya hanya di polres jombang mohon di perbaiki dulu aplikasinya ... terima kasih,Positif,polisi rekam sim aplikasi batal pilih polda jatim satpasnya polres jombang mohon baik aplikasi terima kasih
655,"Polda yg bisa dipilih cuma jatim ama metro?satpasnya jauh...moga bisa di perluas.sy masuk polda jabar,satpas bogor kota.dan itu belum ada di aplikasi.",Positif,polda pilih jatim metro satpasnya moga luas masuk polda jabar satpas bogor kota aplikasi
656,Alhamdulilah... Semoga polri semakin profesional..👍,Positif,alhamdulilah moga polri profesional
657,"saya sudah terdaftar saya mau masuk pakai kode otp lg,sedangkan otp nya gak masuk'' sudah berapakali coba tetap gak ada sms otp nya,tolong di perbarui apk nya yg sudah terdaftar,tinggal login gitu biar mudah..makasih",Positif,daftar masuk pakai kode otp otp masuk  berapakali coba sms otp tolong baru apk daftar tinggal login biar mudah makasih
658,Benar benar membantu. Semoga SIM nya cepat jadi dan dikirim.. Lancar selalu korlantas polri 💪,Positif,bantu moga sim cepat kirim lancar korlantas polri
659,"Di edit g bisa ya, saya register salah masa berlaku sim nya, sudah byr dan tampilan sim smpek tgl sekarang, shg masa berlaku sim baru pas sama persis dengan masa habis sim lama",Positif,edit register salah laku sim byr tampil sim smpek tanggal shg laku sim pas persis habis sim
660,"Alhamdulillah bisa perpanjang sim online harus extra sabar, semua hanya di lakukan di handphone, mulai rikkes dan eppsi nya... Tinggal tunggu proses. Saya lupa kalau habis sim saya 100 hari lagi, sedangkan di keterangan yang bisa perpanjang harus 90 hari baru bisa...udah bayar paling kalau gak bisa uang kembali 😂",Positif,alhamdulillah panjang sim online extra sabar laku handphone rikkes eppsi tinggal tunggu proses lupa habis sim terang panjang bayar uang
661,Aplikasi sudah mulai bagus dan lancar semoga kedepan nya bisa lebih bagus lagi semangat POLRI,Positif,aplikasi bagus lancar moga depan bagus semangat polri
662,Kode pos bnyk blm terdaftar contoh saya tinggal cirendeu kode pos terdaftar .,Positif,kode pos daftar contoh tinggal cirendeu kode pos daftar
663,Ok lah apk langsung bisa login tpi katanya bisa buat SIM dsb❓❓lolololo kenapa gak bisa masih dalam pengembangan gmna² yg pasti ² aja,Positif,ok apk langsung login sim dsb lolololo kembang gmna 
664,"Semoga cepat disempurnakan aplikasinya , supaya bisa berfungsi dengan baik . Semangat kalian semua . Trims.",Positif,moga cepat sempurna aplikasi fungsi semangat trims
665,Keren,Positif,keren
666,"Assalamualaikum makasih kepada bapak2 ibu2 jajaran Polri, yang memudahkan kami masyarakat dalam mengurus administrasi kami dengan Digitalisasi, yang dapat menjangkau dan fleksibilitas kami sebagai masyarakat tentu nya sangat terbantu dengan aplikasi ini terutama dalam hal administrasi berkendara, seperti Pembuatan SIM & Perpanjang SIM . Semoga kedepannya dapat melayani masyarakat dengan lebih baik lagi., Terimakasih aplikasi yang berguna... Yang kasih rating jelek mungkin spek HP nya kentang😁",Positif,assalamualaikum makasih jajar polri mudah masyarakat urus administrasi digitalisasi jangkau fleksibilitas masyarakat bantu aplikasi administrasi kendara buat sim panjang sim moga depan layan masyarakat terimakasih aplikasi guna kasih rating jelek spek hp kentang
667,Inovasi POLRI memberikan kemudahan bagi pemohon SIM...good job..,Positif,inovasi polri mudah mohon sim good job
668,"Sekarang kasih bintang 5, berhasil perpanjang SIM tanpa ribet. Semoga ke depan semakin bagus. Salut untuk Polri!",Positif,kasih bintang hasil panjang sim ribet moga bagus salut polri
669,Kerennnn,Positif,keren
670,"Akhirnya bisa juga dapet SIM nya, ternyata memang harus dilakukan berulang² dan ""telaten"" (mungkin krn baru ya 🤭), dan server nya ""overload"" 🤭 (yah mohon maklum deh, yg penting akhirnya bisa. Buat bantuan, harus pilih² waktunya, cari yg kira² orang lain nggak ""ngelink"" 😀😀😀",Positif,sim ulang telaten  server overload  mohon maklum deh bantu pilih cari kira orang ngelink
671,Senoga bermanfaat,Positif,senoga manfaat
672,"Memang benar, aplikasi ini masih jauh dari kata sempurna dan perlu banyak perbaikan. Bintang 5 ini sebagai bentuk apresiasi trobosan digitalisasi pelayanan publik, pastinya aplikasi ini kedepan akan sangat memudahkan masyarakat. Semangat buat tim developernya! Masih banyak yg harus diperbaiki, kami sangat menantikan perbaikannya.",Positif,aplikasi sempurna baik bintang bentuk apresiasi trobosan digitalisasi layan publik pasti aplikasi depan mudah masyarakat semangat tim developer baik baik
673,Butuh 1000 tahun untuk dapat OTP tp tetep gak dapet2 OTP,Positif,butuh otp otp
674,Saya sudah mengikuti instruksi yang tertera untuk verifikasi ktp dan ketika selesai malah muncul notifikasi gagal. Kenapa ya?,Positif,ikut instruksi tera verifikasi ktp selesai muncul notifikasi gagal
675,"maaf mau tanya. saya kan wilayah polda jawa barat polresta bogor. namun di menu pemilihan lokasi satpas.. wilayah polda dan satpas tersebut tidak ketemu, apa yang harus saya lakukan ?",Positif,maaf wilayah polda jawa barat polresta bogor menu pilih lokasi satpas wilayah polda satpas ketemu laku
676,Mantap,Positif,mantap
677,Kok gabisa ya unggah dokumennya?itu kenapa yaa?,Positif,gabisa unggah dokumen
678,Untuk menambahkan dokumen sim yang ke 2 msh gagal terus terutama untuk SIM A,Positif,dokumen sim gagal sim a
679,Good job..,Positif,good job
680,"Verifikasi e-mail gagal terus, apa perlu email baru?",Positif,verifikasi e-mail gagal email
681,"Saran saya di terbitkan buku saku atau panduan dalam format pdf untuk mempermudah penggunaan aplikasi ini.Karena setelah saya mencoba beberapa fitur terhubung ke Aplikasi lain seperti e-Rikkes, ePPsi SIM dan AVIS. Terima Kasih",Positif,saran terbit buku saku pandu format pdf mudah guna aplikasi coba fitur hubung aplikasi e-rikkes eppsi sim avis terima kasih
682,"nunggu OTP ga dateng² pak, hapus donlot aplikasi berkali², sejak aplikasi loncing belum bisa juga daftar, bravo untuk pak polisi yang sedang berusaha mengikuti kemajuan teknologi untuk mempermudah pelayanan kepada masyarakat, jangan hiraukan msayarakat yang bisanya cuma menghujat pak, berusaha terus untuk perbaikan pak, semangaaaaat",Positif,tunggu otp dateng hapus donlot aplikasi kali aplikasi loncing daftar bravo polisi usaha ikut maju teknologi mudah layan masyarakat hirau msayarakat bisa hujat usaha baik semangaaaaat
683,"Kenapa ga bisa digunakan,padahal sdh verifikasi e-ktp n berhasil laporannya,foto wajah dan semua sdh lengkap begitu blsn email dri korlantas tpi ttp ga bsa digunakan.",Positif,verifikasi e-ktp n hasil lapor foto wajah lengkap blsn email korlantas
684,Dari login lancar tetapi sampai lokasi satpas gak bisa lanjut. Sebagai aplikasi baru saya kira cukup bagus. Tetapi kalau aplikasi polri seharusnya sudah bagus baru launching,Positif,login lancar lokasi satpas aplikasi bagus aplikasi polri bagus launching
685,"Senang , tapi belum berhasil login, Hari berikutnya lancar , saran untuk rikkes sebaiknya upload dokumen pemeriksaan ke dokter umum deket rumah , lha kalau ditunjukkan dokternya ,bukannya sy masih antri , akhirnya belum jadi pakai aplikasi.",Positif,senang hasil login lancar saran rikkes upload dokumen periksa dokter rumah dokter antri pakai aplikasi
686,Sudah lumayan bagus dan membantu. Pengajuan tanggal 15 april sim sampe rumah 17 april. Lokasi sragen jateng. Mungkin masih perlu banyak perbaikan di server kalo banyak user yang akses jadi lemot saat nunggu otp ataupun verifikasi data. Terima kasih,Positif,lumayan bagus bantu aju tanggal april sim rumah april lokasi sragen jateng baik server kalo user akses lot tunggu otp verifikasi data terima kasih
687,"Aplikasinya cukup bagus, Pendaftaran nya gampang., Klw boleh pak, mohon untuk pembuatan SIM baru di adakan juga di aplikasi ini, dimasa pandemi seperti sekarang, untuk menghindari resiko terkena covid-19. Agar masyarakat lebih aman, Terima kasih",Positif,aplikasi bagus daftar gampang mohon buat sim adakan aplikasi masa pandemi hindar resiko kena covid- masyarakat aman terima kasih
688,"Alhamdulillah sdh selesai prosesnya.... tes kesehatan, tes psikologi dan proses terakhirnya yaitu pembayaran dan pengiriman.....tinggal tunggu hasilnya yaitu menunggu kiriman SIM baru",Positif,alhamdulillah selesai proses tes sehat tes psikologi proses akhir bayar kirim tinggal tunggu hasil tunggu kirim sim
689,Mohon Segera Dikembangkan Lagi Aplikasinya Untuk Vitur Yang Lainnya Juga. Saya Yakin Aplikasi Ini Sangat Membantu Masyarakat.,Positif,mohon kembang aplikasi vitur aplikasi bantu masyarakat
691,"Awal muter2, akhirnya bisa, buatkan tutorial di YouTube yg jelas biar gak bingung. Tinggal nunggu pos.. tpi masih blum bisa lacak proses sampe mana ya . Semoga bisa.. Klo bisa tes kesehatan dan psikologi jdi 1 dalam aplikasi yg sama agar gak bolak balik download aplikasi lain Semoga semakin memudahkan.",Positif,muter buat tutorial youtube biar bingung tinggal tunggu pos lacak proses moga kalo tes sehat psikologi aplikasi bolak download aplikasi moga mudah
